Er moet meer geld komen voor Defensie;Mee eens;3
Nederland moet uit de EU stappen;Helemaal niet mee eens;4
Wietteelt moet legaal worden;Helemaal mee eens;3
Er mogen geen sociale huurwoningen meer worden verkocht;Niet mee eens;3
De kerncentrale in Borssele moet open blijven;Helemaal niet mee eens;4
Rechters moeten weer vaker gevangenisstraf opleggen in plaats van taakstraffen;Helemaal niet mee eens;3
Sociale dienstplicht voor jongeren;Helemaal niet mee eens;3
In plaats van een lening, moet de studiefinanciering weer een gift worden;Niet mee eens;2
Nederlandse burgers moeten een referendum kunnen aanvragen om besluiten van het Parlement terug te kunnen draaien;Helemaal mee eens;3
Grote multinationale bedrijven betalen in Nederland te weinig belasting;Helemaal mee eens;2
Op de NPO moet worden bezuinigd;Helemaal niet mee eens;4
ZZP'ers moeten worden verplicht om een arbeidsongeschiktheidsverzekering af te sluiten;Helemaal niet mee eens;3
Om de files te verminderen moet de overheid investeren in nieuwe wegen, in plaats van te investeren in openbaar vervoer;Helemaal niet mee eens;3
Er moet strengere klimaatwetgeving komen, ook al gaat dit ten koste van economische groei;Mee eens;2
De AOW-leeftijd mag niet verder worden verhoogd dan de huidige 67 jaar;Niet mee eens;2
Het huidige systeem van meerdere zorgverzekeraars moet vervangen worden door een zorgfonds van de overheid;Helemaal niet mee eens;5
Het eigen risico in de zorg moet worden afgeschaft, ook al gaan de premies daardoor omhoog;Niet mee eens;3
Het moet strafbaar worden om zonder verblijfsvergunning in Nederland te zijn;Niet mee eens;2
In plaats van een vast bedrag per auto, moeten automobilisten per gereden kilometer belasting gaan betalen;Helemaal mee eens;3
Op ontwikkelingssamenwerking moet worden bezuinigd;Helemaal niet mee eens;3
Ouderen die vinden dat hun leven voltooid is, morgen met professionele hulp een einde aan hun leven maken;Helemaal mee eens;2
Nederland moet minder vluchtelingen opvangen;Niet mee eens;1
Bepaalde sociale groepen waarvan de politie denkt dat ze vaker crimineel zijn, moeten strenger gecontroleerd worden;Helemaal niet mee eens;2
Zwarte piet moet roetveegpiet worden;Neutraal;1
Vanaf 2025 mogen in Nederland alleen nog maar elektrische auto's verkocht worden;Mee eens;1
Nederlanders die naar Syrie zijn gegaan om te vechten mogen niet terugkeren naar ons land;Niet mee eens;3
Alle volwassenen moeten automatisch orgaandonor zijn, tenzij zij expliciet aangeven dat niet te willen;Helemaal mee eens;2
De privacy van burgers mag worden beperkt om terrorisme te bestrijden;Niet mee eens;3
Het belastingtarief voor de hoogste inkomens moet omhoog;Niet mee eens;4
Het moet voor bedrijven makkelijker worden om werknemers te ontslaan;Mee eens;3
