Er moet meer geld komen voor Defensie;Niet mee eens;3
Nederland moet uit de EU stappen;Niet mee eens;4
Wietteelt moet legaal worden;Helemaal mee eens;3
Er mogen geen sociale huurwoningen meer worden verkocht;Helemaal mee eens;3
De kerncentrale in Borssele moet open blijven;Helemaal niet mee eens;4
Rechters moeten weer vaker gevangenisstraf opleggen in plaats van taakstraffen;Niet mee eens;2
Sociale dienstplicht voor jongeren;Niet mee eens;3
In plaats van een lening, moet de studiefinanciering weer een gift worden;Helemaal mee eens;5
Nederlandse burgers moeten een referendum kunnen aanvragen om besluiten van het Parlement terug te kunnen draaien;Helemaal mee eens;5
Grote multinationale bedrijven betalen in Nederland te weinig belasting;Helemaal mee eens;3
Op de NPO moet worden bezuinigd;Niet mee eens;3
ZZP'ers moeten worden verplicht om een arbeidsongeschiktheidsverzekering af te sluiten;Niet mee eens;2
Om de files te verminderen moet de overheid investeren in nieuwe wegen, in plaats van te investeren in openbaar vervoer;Helemaal niet mee eens;2
Er moet strengere klimaatwetgeving komen, ook al gaat dit ten koste van economische groei;Mee eens;4
De AOW-leeftijd mag niet verder worden verhoogd dan de huidige 67 jaar;Helemaal mee eens;3
Het huidige systeem van meerdere zorgverzekeraars moet vervangen worden door een zorgfonds van de overheid;Helemaal mee eens;5
Het eigen risico in de zorg moet worden afgeschaft, ook al gaan de premies daardoor omhoog;Helemaal mee eens;3
Het moet strafbaar worden om zonder verblijfsvergunning in Nederland te zijn;Niet mee eens;5
In plaats van een vast bedrag per auto, moeten automobilisten per gereden kilometer belasting gaan betalen;Mee eens;3
Op ontwikkelingssamenwerking moet worden bezuinigd;Helemaal niet mee eens;2
Ouderen die vinden dat hun leven voltooid is, morgen met professionele hulp een einde aan hun leven maken;Niet mee eens;3
Nederland moet minder vluchtelingen opvangen;Niet mee eens;4
Bepaalde sociale groepen waarvan de politie denkt dat ze vaker crimineel zijn, moeten strenger gecontroleerd worden;Neutraal;1
Zwarte piet moet roetveegpiet worden;Neutraal;1
Vanaf 2025 mogen in Nederland alleen nog maar elektrische auto's verkocht worden;Mee eens;2
Nederlanders die naar Syrie zijn gegaan om te vechten mogen niet terugkeren naar ons land;Niet mee eens;3
Alle volwassenen moeten automatisch orgaandonor zijn, tenzij zij expliciet aangeven dat niet te willen;Helemaal mee eens;4
De privacy van burgers mag worden beperkt om terrorisme te bestrijden;Mee eens;3
Het belastingtarief voor de hoogste inkomens moet omhoog;Helemaal mee eens;4
Het moet voor bedrijven makkelijker worden om werknemers te ontslaan;Helemaal niet mee eens;3
